Voltage_V,Intensity_mW,Fabry-Perot_T_mW
5.9945,-0.5078150297527,-0.36736
5.985,-0.455233629776729,-0.36733
5.9755,-0.410542045511558,-0.3674
5.966,-0.372743044626668,-0.36745
5.9565,-0.381221727826489,-0.36747
5.947,-0.368689237823691,-0.36744
5.9375,-0.314046490327431,-0.36744
5.928,-0.344652948590339,-0.3672
5.9185,-0.293660483579596,-0.36729
5.909,-0.286854903921598,-0.36717
5.8995,-0.29082198579646,-0.36703
5.89,-0.249966678277137,-0.36671
5.8805,-0.239875719771815,-0.36634
5.871,-0.252123974423744,-0.36628
5.8615,-0.215841283689496,-0.3664
5.852,-0.240656547068483,-0.36632
5.8425,-0.237414348291905,-0.36631
5.833,-0.206438099144778,-0.36619
5.8235,-0.180653989458161,-0.366
5.814,-0.178034198989506,-0.3656
5.8045,-0.142864246205874,-0.36484
5.795,-0.168347684046,-0.36364
5.7855,-0.154043658781956,-0.36229
5.776,-0.145989821112506,-0.36111
5.7665,-0.119887103864493,-0.35946
5.757,-0.119680629313993,-0.35861
5.7475,-0.0970913343331604,-0.35714
5.738,-0.0936453359631352,-0.35657
5.7285,-0.0836878366091936,-0.35669
5.719,-0.0757187284702584,-0.35639
5.7095,-0.0656622126275223,-0.35639
5.7,-0.0688064200529354,-0.35603
5.6905,-0.0567707205399976,-0.35574
5.681,-0.0541652620607929,-0.35651
5.6715,-0.0433114726586396,-0.35721
5.662,-0.0395635263073085,-0.35703
5.6525,-0.0409936601066712,-0.35609
5.643,-0.033649632584079,-0.35407
5.6335,-0.0274338040562693,-0.34986
5.624,-0.0232910465545622,-0.32657
5.6145,-0.00395612651320048,0.08984
5.605,0.00482251862230627,0.39174
5.5955,-0.00390004790218641,-0.05781
5.586,-0.00418612588148905,-0.3401
5.5765,-0.00396226208653397,-0.36211
5.567,0.00299014890008594,-0.36492
5.5575,0.00218110521042716,-0.36593
5.548,0.00463760068787881,-0.36635
5.5385,0.00878034963636934,-0.36668
5.529,0.00884157268175892,-0.3669
5.5195,0.0174771578169044,-0.36716
5.51,0.015124434645429,-0.36727
5.5005,0.013817459835945,-0.36738
5.491,0.0180179121298135,-0.36746
5.4815,0.0158319416164464,-0.36742
5.472,0.0176162737372713,-0.3674
5.4625,0.020439084985829,-0.36741
5.453,0.0201953356639372,-0.36738
5.4435,0.0285134762906442,-0.36737
5.434,0.0289424350320254,-0.3674
5.4245,0.0300501532140339,-0.36742
5.415,0.0279957207756769,-0.3675
5.4055,0.0255077653328066,-0.36755
5.396,0.028829768052004,-0.36761
5.3865,0.0376923835675685,-0.36761
5.377,0.0292499463783696,-0.36763
5.3675,0.0363256680730056,-0.36767
5.358,0.0299173842974595,-0.36758
5.3485,0.0329102476952086,-0.3676
5.339,0.0393743032426187,-0.36751
5.3295,0.0306017309379247,-0.36749
5.32,0.0337032439409157,-0.36747
5.3105,0.0380567802497575,-0.36752
5.301,0.0406438448410053,-0.36761
5.2915,0.050596433407701,-0.36774
5.282,0.0450713868504943,-0.36769
5.2725,0.0484159357929954,-0.36771
5.263,0.0502325861158757,-0.36765
5.2535,0.0377258494752272,-0.36759
5.244,0.0433298970682756,-0.36752
5.2345,0.0453666747171834,-0.3675
5.225,0.0510173908770419,-0.36754
5.2155,0.0437651076248195,-0.3676
5.206,0.0475421757195102,-0.36768
5.1965,0.0434350505512259,-0.36772
5.187,0.0452008966685031,-0.36772
5.1775,0.0461396759884752,-0.3677
5.168,0.0442973908876822,-0.3677
5.1585,0.0505287511467143,-0.36762
5.149,0.0404058129724067,-0.3676
5.1395,0.0394184239792487,-0.36757
5.13,0.0413209212446736,-0.36771
5.1205,0.0564225412766038,-0.3677
5.111,0.0486054691581812,-0.36765
5.1015,0.0405881329367023,-0.36759
5.092,0.0478965592528851,-0.36752
5.0825,0.0489437740350029,-0.36751
5.073,0.0488258635334014,-0.36757
5.0635,0.0617360277477304,-0.36764
5.054,0.0537393009139271,-0.3677
5.0445,0.0663245720089965,-0.36773
5.035,0.0531713490194856,-0.3677
5.0255,0.0558998892266832,-0.36769
5.016,0.0500193773943928,-0.36771
5.0065,0.0482186131707217,-0.36762
4.997,0.0411550016065848,-0.36762
4.9875,0.0507263167141025,-0.36756
4.978,0.0480196075735876,-0.36755
4.9685,0.0499113738260899,-0.36759
4.959,0.0477476077494478,-0.36763
4.9495,0.043711781725149,-0.36774
4.94,0.0485118684412843,-0.36772
4.9305,0.0486176460093473,-0.36774
4.921,0.0522614036173389,-0.36776
4.9115,0.0608018693213977,-0.36771
4.902,0.0465135244663761,-0.36761
4.8925,0.0517495150763977,-0.36755
4.883,0.0440769751647194,-0.36754
4.8735,0.0400033249269796,-0.36755
4.864,0.0543571505578176,-0.36759
4.8545,0.0517578836944935,-0.36768
4.845,0.0513179321055501,-0.36772
4.8355,0.0597134262619819,-0.36775
4.826,0.0575655652016657,-0.36777
4.8165,0.0508882618556889,-0.36771
4.807,0.0564661816536096,-0.36767
4.7975,0.0462312354143276,-0.36759
4.788,0.0537231024076791,-0.36756
4.7785,0.0525322481717194,-0.36758
4.769,0.0424311325281485,-0.36762
4.7595,0.0525120951032953,-0.36769
4.75,0.0500763845651387,-0.36775
4.7405,0.0530089363498733,-0.36777
4.731,0.0560128341972028,-0.36777
4.7215,0.0396044227444173,-0.36772
4.712,0.0437949804613198,-0.36769
4.7025,0.0434917455736596,-0.36766
4.693,0.0554827458429584,-0.3676
4.6835,0.0594445450120895,-0.36758
4.674,0.050649189480221,-0.36756
4.6645,0.055966697347133,-0.36761
4.655,0.0576472049829803,-0.36769
4.6455,0.0524489760643422,-0.36771
4.636,0.053552152520403,-0.36776
4.6265,0.0551111867135414,-0.36779
4.617,0.0468020480215225,-0.36778
4.6075,0.0559486007898826,-0.36776
4.598,0.0428265841568424,-0.36772
4.5885,0.037410873616416,-0.36771
4.579,0.0392402220031709,-0.36761
4.5695,0.0358307617810454,-0.36761
4.56,0.0389901739367909,-0.3676
4.5505,0.0424988147858033,-0.36762
4.541,0.0379754688714207,-0.36771
4.5315,0.0443687552603926,-0.36777
4.522,0.0454907620234891,-0.36777
4.5125,0.0467143648072218,-0.36772
4.503,0.0554305664386327,-0.36763
4.4935,0.0536235418548995,-0.36761
4.484,0.044493589798128,-0.36761
4.4745,0.0442393962182463,-0.36763
4.465,0.0479320880796022,-0.36772
4.4555,0.0438504272425844,-0.36778
4.446,0.0496851071040928,-0.36779
4.4365,0.0478593738332324,-0.36773
4.427,0.0584499832717661,-0.36766
4.4175,0.0491171532828142,-0.36761
4.408,0.0480867674287606,-0.36761
4.3985,0.0502918322520264,-0.36761
4.389,0.0436510963482249,-0.3677
4.3795,0.0452926967017066,-0.36776
4.37,0.039644865469659,-0.3678
4.3605,0.0358330217501665,-0.36778
4.351,0.0418829798304354,-0.36778
4.3415,0.0347323237692506,-0.36774
4.332,0.0383953096669267,-0.36764
4.3225,0.0507272119798045,-0.3676
4.313,0.0402420636315593,-0.36759
4.3035,0.048661681009969,-0.36759
4.294,0.0520897104866459,-0.36761
4.2845,0.0452412640338436,-0.36771
4.275,0.0488482899118373,-0.3677
4.2655,0.0403634978348432,-0.36778
4.256,0.046285001035072,-0.36779
4.2465,0.0507862126261747,-0.36782
4.237,0.0436199544408181,-0.36777
4.2275,0.0406372807974662,-0.36775
4.218,0.0444429752291165,-0.36778
4.2085,0.0440207857554002,-0.36763
4.199,0.0486918939614141,-0.36765
4.1895,0.0470988947203915,-0.36759
4.18,0.0515559164629999,-0.36757
4.1705,0.047326691644404,-0.36766
4.161,0.049513553293427,-0.36771
4.1515,0.0484149877579997,-0.3678
4.142,0.0531923371468766,-0.36788
4.1325,0.0468876693688612,-0.36774
4.123,0.0537653214787136,-0.36774
4.1135,0.0468041226294331,-0.36763
4.104,0.0452412064826296,-0.36755
4.0945,0.0430394453749479,-0.36761
4.085,0.0435095865567689,-0.36763
4.0755,0.0465351363061599,-0.36768
4.066,0.0343319086407573,-0.36774
4.0565,0.0394532965776905,-0.36774
4.047,0.0419029071115585,-0.36775
4.0375,0.0418141784767354,-0.36767
4.028,0.0396148255157128,-0.36761
4.0185,0.0349813646801288,-0.36753
4.009,0.0430942634772277,-0.36729
3.9995,0.0509835623077763,-0.36739
3.99,0.0419020714413471,-0.36727
3.9805,0.0485616117002838,-0.36721
3.971,0.0486679913724338,-0.3671
3.9615,0.039418856292162,-0.36672
3.952,0.0405858242461635,-0.36673
3.9425,0.0452761883035665,-0.36674
3.933,0.0470985665767726,-0.3667
3.9235,0.051965669778248,-0.36654
3.914,0.0470797978759066,-0.36637
3.9045,0.0367011686662599,-0.36606
3.895,0.0401435856421081,-0.36539
3.8855,0.0337364639392841,-0.36458
3.876,0.0386016628636848,-0.36351
3.8665,0.0393143308720199,-0.36217
3.857,0.039213147627117,-0.36112
3.8475,0.0426917189398688,-0.35971
3.838,0.0408074156329016,-0.3583
3.8285,0.0453773040436091,-0.35715
3.819,0.0419697123323729,-0.35657
3.8095,0.0329343487079281,-0.35756
3.8,0.0384723030400874,-0.35616
3.7905,0.0360496601042515,-0.35662
3.781,0.0333276821203036,-0.35588
3.7715,0.0355566947104988,-0.35678
3.762,0.0340467846512388,-0.35742
3.7525,0.0380977925929972,-0.35722
3.743,0.0402110667332847,-0.35683
3.7335,0.0365402588023368,-0.35548
3.724,0.0287645070545797,-0.353
3.7145,0.0288959483833516,-0.33956
3.705,0.0332284222395248,-0.09821
3.6955,0.0571970412215278,0.36172
3.686,0.0348070358250861,0.03673
3.6765,0.0206694962712246,-0.32587
3.667,0.0147732149945299,-0.36111
3.6575,0.0125424628195567,-0.36484
3.648,0.014241416480377,-0.36604
3.6385,0.00876476465126125,-0.36664
3.629,0.0120053592651679,-0.36699
3.6195,0.0116831182054111,-0.36726
3.61,0.00542386886893788,-0.36743
3.6005,0.00484427997628152,-0.36749
3.591,-0.000526269975319938,-0.36748
3.5815,-0.000875945151592963,-0.36751
3.572,0.000594526009566856,-0.36747
3.5625,-0.00675851335328789,-0.36752
3.553,-0.00790867022473574,-0.36758
3.5435,-0.0173696891814811,-0.36767
3.534,-0.0293236011915304,-0.36775
